New_Node_Num	Orig_Node_Num
1	23
2	68
3	105
4	175
5	221
6	224
7	244
8	251
9	404
10	406
11	409
12	413
13	420
14	480
15	519
16	556
17	565
18	665
19	693
20	700
21	727
22	766
23	797
24	1107
25	1108
26	1162
27	1221
28	1265
29	1330
30	1335
31	1401
32	1449
33	1483
34	1498
35	1518
36	1538
37	1609
38	1648
39	1989
40	2032
41	2059
42	2065
43	2089
44	2123
45	2143
46	2375
47	2436
48	2451
49	2463
50	2475
51	2501
52	2515
53	2559
54	2574
55	2622
56	2656
57	2664
58	2682
59	2774
60	2877
61	2959
62	2981
63	3027
64	3037
65	3063
66	3064
67	3067
68	3119
69	3162
70	3171
71	3184
72	3186
73	3187
74	3244
75	3248
76	3254
77	3277
78	3431
79	3531
80	3645
81	3721
82	3725
83	3742
84	3882
85	4017
86	4021
87	4054
88	4101
89	4131
90	4186
91	4205
92	4213
93	4225
94	4231
95	4319
96	4355
97	4356
98	4411
99	4515
100	4588
101	4640
102	4643
103	4686
104	4715
105	4771
106	4788
107	4894
108	4932
109	4960
110	5025
111	5026
112	5046
113	5145
114	5220
115	5270
116	5289
117	5295
118	5315
119	5352
120	5380
121	5385
122	5452
123	5455
124	5495
125	5563
126	5584
127	5610
128	5646
129	5647
130	5696
131	5743
132	5784
133	5856
134	5883
135	5972
136	5977
137	5980
138	5988
139	6041
140	6045
141	6143
142	6159
143	6301
144	6343
145	6346
146	6361
147	6487
148	6503
149	6512
150	6550
151	6553
152	6567
153	6572
154	6600
155	6610
156	6611
157	6620
158	6699
159	6886
160	6969
161	7018
162	7179
163	7202
164	7205
165	7274
166	7452
167	7468
168	7580
169	7583
170	7693
171	7753
172	7951
173	8027
174	8065
175	8079
176	8161
177	8192
178	8217
179	8224
180	8266
181	8304
182	8385
183	8397
184	8419
185	8430
186	8439
187	8454
188	8460
189	8512
190	8513
